Index,Variant,country,Region,Subregion,Notes,Countrycode,Type,Parent code,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
27,Medium variant,Burundi,Africa,Eastern Africa,,108,Country/Area,910,17.3,17.8,18.7,19.7,20.7,21.8,22.7,23.7,24.6,25.7,26.7,27.8,28.9,29.9,31,32.1,33.1
28,Medium variant,Comoros,Africa,Eastern Africa,,174,Country/Area,910,20.4,21.2,22.1,23.1,24.1,25.1,26.1,27.1,28.1,29.1,30,31,32,33,33.9,34.8,35.7
29,Medium variant,Djibouti,Africa,Eastern Africa,,262,Country/Area,910,26.6,28.2,29.8,31.4,32.9,34.2,35.7,37,38.3,39.4,40.3,41.1,41.7,42.3,43,43.7,44.3
30,Medium variant,Eritrea,Africa,Eastern Africa,,232,Country/Area,910,19.2,19.9,21.5,22.8,23.9,24.9,26,27.2,28.4,29.6,31,32.3,33.6,34.8,36,37.2,38.3
31,Medium variant,Ethiopia,Africa,Eastern Africa,,231,Country/Area,910,19.5,20.6,21.8,23,24.3,25.8,27.3,28.8,30.3,31.8,33.2,34.7,36,37.4,38.7,39.9,41.1
32,Medium variant,Kenya,Africa,Eastern Africa,,404,Country/Area,910,20.1,21.5,23,24.3,25.7,26.9,28.1,29.3,30.6,32,33.3,34.6,35.8,37,38.1,39.3,40.3
33,Medium variant,Madagascar,Africa,Eastern Africa,,450,Country/Area,910,19.6,20.4,21.2,22,22.9,23.8,24.8,25.9,26.9,27.9,29,30,31.1,32.2,33.3,34.4,35.5
34,Medium variant,Malawi,Africa,Eastern Africa,,454,Country/Area,910,18.1,19.1,20.1,21.2,22.2,23.3,24.4,25.6,26.9,28.2,29.4,30.7,32,33.3,34.6,35.9,37.2
35,Medium variant,Mauritius,Africa,Eastern Africa,1,480,Country/Area,910,37.5,39.2,40.8,42.6,44.5,46.1,47.7,49.1,50.2,50.6,50.8,51,51.1,51.2,51.1,50.8,50.5
36,Medium variant,Mayotte,Africa,Eastern Africa,2,175,Country/Area,910,20.1,21.5,23.1,24.7,26.2,27.5,28.9,30.3,31.9,33.4,35,36.6,38.2,39.7,41.2,42.5,43.8
37,Medium variant,Mozambique,Africa,Eastern Africa,,508,Country/Area,910,17.6,18.3,19,19.8,20.7,21.8,22.9,24,25.1,26.4,27.6,28.7,29.9,31.1,32.2,33.4,34.5
38,Medium variant,Réunion,Africa,Eastern Africa,2,638,Country/Area,910,35.9,36.8,37.7,38.7,40,41.4,42.7,43.8,44.8,45.7,46.6,47.7,48.8,49.9,50.9,51.8,52.5
39,Medium variant,Rwanda,Africa,Eastern Africa,,646,Country/Area,910,20,20.9,22.1,23.2,24.4,25.8,27.2,28.6,30,31.4,32.9,34.4,35.9,37.4,38.9,40.3,41.6
40,Medium variant,Seychelles,Africa,Eastern Africa,,690,Country/Area,910,34.2,35.5,36.7,37.4,37.6,37.9,38.6,39.5,40.4,41.1,41.7,42.3,43.2,44.2,45.2,46.2,47.1
41,Medium variant,Somalia,Africa,Eastern Africa,,706,Country/Area,910,16.7,17.2,17.6,18.1,18.8,19.6,20.5,21.5,22.4,23.4,24.3,25.3,26.3,27.3,28.3,29.2,30.2
42,Medium variant,South Sudan,Africa,Eastern Africa,,728,Country/Area,910,19,19.7,20.5,21.4,22.4,23.4,24.4,25.4,26.5,27.5,28.5,29.5,30.5,31.5,32.4,33.3,34.2
43,Medium variant,Uganda,Africa,Eastern Africa,,800,Country/Area,910,16.7,17.8,19.1,20.4,21.9,23.3,24.8,26.3,27.8,29.3,30.9,32.3,33.8,35.2,36.5,37.8,38.9
44,Medium variant,United Republic of Tanzania,Africa,Eastern Africa,3,834,Country/Area,910,18,18.6,19.3,20,20.7,21.5,22.3,23.2,24.1,25,25.9,26.9,27.9,28.8,29.8,30.9,31.9
45,Medium variant,Zambia,Africa,Eastern Africa,,894,Country/Area,910,17.6,18.5,19.3,20.2,21,21.8,22.8,23.7,24.6,25.5,26.5,27.4,28.3,29.2,30.2,31.1,32.1
46,Medium variant,Zimbabwe,Africa,Eastern Africa,,716,Country/Area,910,18.7,19.6,21.1,22.8,24.4,25.7,26.9,28.2,29.5,30.9,32.3,33.7,35,36.2,37.3,38.2,39.1
48,Medium variant,Angola,Africa,Middle Africa,,24,Country/Area,911,16.7,17.2,17.9,18.6,19.2,19.9,20.7,21.6,22.4,23.3,24.2,25,25.9,26.8,27.7,28.6,29.5
49,Medium variant,Cameroon,Africa,Middle Africa,,120,Country/Area,911,18.7,19.4,20.3,21.2,22.2,23.1,24,25,25.9,26.9,27.8,28.7,29.6,30.5,31.4,32.3,33.2
50,Medium variant,Central African Republic,Africa,Middle Africa,,140,Country/Area,911,17.6,18.6,19.6,20.6,21.6,22.8,24,25.4,26.9,28.3,29.7,30.9,32.1,33.2,34.2,35.2,36.1
51,Medium variant,Chad,Africa,Middle Africa,,148,Country/Area,911,16.6,17.2,18,18.9,19.8,20.9,22,23.1,24.2,25.4,26.5,27.6,28.7,29.7,30.8,31.8,32.7
52,Medium variant,Congo,Africa,Middle Africa,,178,Country/Area,911,19.2,19.8,20.7,21.6,22.3,23,23.6,24.3,25.1,26,26.9,27.7,28.6,29.4,30.2,31.1,32
53,Medium variant,Democratic Republic of the Congo,Africa,Middle Africa,,180,Country/Area,911,17,17.5,18.2,19.1,20,21,22.1,23.3,24.5,25.7,27,28.3,29.6,30.8,32.1,33.2,34.4
54,Medium variant,Equatorial Guinea,Africa,Middle Africa,,226,Country/Area,911,22.3,22.3,22.7,23.4,24.2,25.1,26.2,27.2,28.2,29.2,30.1,31,31.9,32.8,33.7,34.6,35.4
55,Medium variant,Gabon,Africa,Middle Africa,,266,Country/Area,911,22.5,22.6,23,23.9,25.1,26.4,27.5,28.4,29.2,30,30.8,31.8,32.8,33.9,34.9,35.9,36.8
56,Medium variant,Sao Tome and Principe,Africa,Middle Africa,,678,Country/Area,911,18.6,19.5,20.7,21.7,22.7,23.5,24.4,25.4,26.5,27.7,28.8,29.9,31,32.2,33.3,34.4,35.4
58,Medium variant,Botswana,Africa,Southern Africa,,72,Country/Area,913,24,25.2,26.5,27.9,29.3,30.8,32.3,33.7,34.9,35.9,37,38,39,40,40.8,41.6,42.2
59,Medium variant,Eswatini,Africa,Southern Africa,,748,Country/Area,913,20.7,22.1,23.5,24.9,26.3,27.8,29.1,30.4,31.5,32.6,33.7,34.8,35.9,36.9,37.7,38.3,38.9
60,Medium variant,Lesotho,Africa,Southern Africa,,426,Country/Area,913,24,25,25.9,26.8,27.7,28.7,29.8,31,32.1,33.2,34.3,35.4,36.5,37.6,38.6,39.7,40.7
61,Medium variant,Namibia,Africa,Southern Africa,,516,Country/Area,913,21.8,22.5,23.3,24.4,25.7,26.9,28.1,29.3,30.4,31.5,32.6,33.6,34.7,35.8,36.9,37.8,38.7
62,Medium variant,South Africa,Africa,Southern Africa,,710,Country/Area,913,27.6,28.7,29.6,30.5,31.6,32.7,33.9,34.9,35.8,36.6,37.4,38.1,38.8,39.5,40.2,40.7,41.2
64,Medium variant,Benin,Africa,Western Africa,,204,Country/Area,914,18.8,19.4,20.1,20.9,21.7,22.5,23.3,24.2,25.1,26,26.9,27.8,28.7,29.6,30.5,31.4,32.3
65,Medium variant,Burkina Faso,Africa,Western Africa,,854,Country/Area,914,17.6,18.2,19,19.8,20.7,21.7,22.7,23.7,24.8,26,27.1,28.2,29.3,30.5,31.6,32.7,33.8
66,Medium variant,Cabo Verde,Africa,Western Africa,,132,Country/Area,914,27.6,30.2,32.3,34.2,35.9,37.4,38.9,40.5,42,43.3,44.4,45.3,46.1,46.8,47.6,48.3,49
67,Medium variant,Côte d'Ivoire,Africa,Western Africa,,384,Country/Area,914,18.9,19.4,19.9,20.6,21.4,22.3,23.1,23.9,24.7,25.6,26.4,27.3,28.1,28.9,29.7,30.6,31.4
68,Medium variant,Gambia,Africa,Western Africa,,270,Country/Area,914,17.8,18.3,19,19.9,21.1,22.3,23.5,24.7,26.1,27.4,28.7,29.9,31.2,32.4,33.6,34.7,35.8
69,Medium variant,Ghana,Africa,Western Africa,,288,Country/Area,914,21.5,22.3,23.1,24,25,26,26.9,27.8,28.7,29.6,30.6,31.5,32.5,33.4,34.4,35.3,36.3
70,Medium variant,Guinea,Africa,Western Africa,,324,Country/Area,914,18,18.9,19.8,20.7,21.8,22.9,24,25.1,26.3,27.4,28.4,29.5,30.5,31.5,32.5,33.4,34.4
71,Medium variant,Guinea-Bissau,Africa,Western Africa,,624,Country/Area,914,18.8,19.4,20.3,21.4,22.6,23.6,24.6,25.7,26.7,27.7,28.7,29.7,30.8,31.7,32.7,33.6,34.5
72,Medium variant,Liberia,Africa,Western Africa,,430,Country/Area,914,19.4,20.3,21.2,22.2,23,23.9,24.9,25.9,27,28,29.1,30.1,31.2,32.2,33.2,34.3,35.3
73,Medium variant,Mali,Africa,Western Africa,,466,Country/Area,914,16.3,17,17.8,18.6,19.4,20.4,21.5,22.7,23.9,25.1,26.4,27.7,28.9,30.1,31.3,32.4,33.5
74,Medium variant,Mauritania,Africa,Western Africa,,478,Country/Area,914,20.1,20.7,21.4,22.3,23.1,23.9,24.7,25.5,26.3,27.1,27.9,28.6,29.4,30.2,31,31.8,32.6
